Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Pauker, K; Carpinella, C; Meyers, C; Young, DM; Sanchez, DT",,,,"Pauker, Kristin; Carpinella, Colleen; Meyers, Chanel; Young, Danielle M.; Sanchez, Diana T.",,,The Role of Diversity Exposure in Whites' Reduction in Race Essentialism Over Time,SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,,,,,,,,,,,,"Despite multidisciplinary theorizing on the consequences of the changing racial demographics in the United States, few studies have systematically examined how exposure to racial diversity may impact White individuals' lay beliefs about race. In a longitudinal study, we explored whether living in a racially diverse environment with a high multiracial population was related to White individuals' endorsement of race essentialism and its downstream consequences. Endorsement of race essentialism decreased over time, and greater diversity of acquaintances over time was associated with this decrease. Race essentialism reduction also corresponded with a decrease in modern racism and social dominance orientation, and an increase in cognitive flexibility, over time. These findings are consistent with the idea that a racially diverse social context can shape endorsement of race essentialism and lead to social and cognitive benefits for White individuals.",,,,,"Pauker, Kristin/C-2453-2009; Sanchez, Diana/GSD-6690-2022","Pauker, Kristin/0000-0002-0848-5159; ",,,,,,,,,,,,,1948-5506,1948-5514,,,,NOV,2018,9,8,,,,,944,952,,10.1177/1948550617731496,http://dx.doi.org/10.1177/1948550617731496,,,,,,,,,,,,,WOS:000453466900007,View Full Record in Web of Science
J,"Cipollina, R; Pereira-Jorge, I; Sanchez, DT",,,,"Cipollina, Rebecca; Pereira-Jorge, Izilda; Sanchez, Diana T.",,,Perceptions of racial essentialism and social identity threat,GROUP PROCESSES & INTERGROUP RELATIONS,,,,,,,,,,,,"While past research documents essentialist beliefs' (i.e., believing social groups have inherent, unchangeable traits) impact on prejudice, no research has explored if stigmatized groups perceive essentialism as indicative of bias. With a sample of participants diverse in race and sexual orientation, we document that endorsers of racial essentialism were perceived as more likely to be racist and also as more likely to be sexist and heterosexist, relative to nonendorsers (Studies 1-2). As some essentialist beliefs about sexual orientation are associated with progay attitudes, another experiment parsed out dimensions of racial essentialism (i.e., natural kind and entitative beliefs) and examined differences in White sexual minorities' expectations of bias from this race-based cue. Findings indicate that both essentialism dimensions elicited identity threat with potential consequences for sexual minorities' desire to conceal their sexual orientation; thus, we broaden conceptualizations of cues that elicit identity threat while exploring nuances of the impact of perceiver identity and essentialism type.",,,,,,"Sanchez, Diana/0000-0002-8684-6183; Cipollina, Rebecca/0000-0002-8171-3883",,,,,,,,,,,,,1368-4302,1461-7188,,,,,,,,,,,,,,,10.1177/13684302221123928,http://dx.doi.org/10.1177/13684302221123928,,OCT 2022,,,,,,,,,,,WOS:000871908600001,View Full Record in Web of Science
J,"Tullmann, K",,,,"Tullmann, Katie",,,Visual essentialism & social kinds,JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,,,,,,,,,,,,"Scholars increasingly deny that they are strictly biological. Instead, these scholars argue that they are socially constructed. One challenge is to square the notion of social kinds with the apparent perception of those categories. I argue that we do not perceive social categories such as race. Instead, racial categories are visually encoded based on visible markers that are proxies for social kinds. Thus, I argue that the assumption of seeing social categories commits us to a flawed theory of visual essentialism: the idea that some social kinds are visible properties that are biologically determined.",,,,,,,,,,,,,,,,,,,0021-8308,1468-5914,,,,JUN,2022,52,2,,,,,242,259,,10.1111/jtsb.12318,http://dx.doi.org/10.1111/jtsb.12318,,AUG 2021,,,,,,,,,,,WOS:000680713800001,View Full Record in Web of Science
J,"Mandalaywala, TM; Amodio, DM; Rhodes, M",,,,"Mandalaywala, Tara M.; Amodio, David M.; Rhodes, Marjorie",,,Essentialism Promotes Racial Prejudice by Increasing Endorsement of Social Hierarchies,SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,,,,,,,,,,,,"Why do essentialist beliefs promote prejudice? We proposed that essentialist beliefs increase prejudice toward Black people because they imply that existing social hierarchies reflect a naturally occurring structure. We tested this hypothesis in three studies (N = 621). Study 1 revealed that racial essentialism was associated with increased prejudice toward Blacks among both White and Black adult participants, suggesting that essentialism relates to prejudice according to social hierarchy rather than only to group membership. Studies 2 and 3 experimentally demonstrated that increasing essentialist beliefs induced stronger endorsement of social hierarchies in both Black and White participants, which in turn mediated the effect of essentialism on negative attitudes toward Black people. Together, these findings suggest that essentialism increases prejudice toward low-status groups by increasing endorsement of social hierarchies and existing inequality.",,,,,,,,,,,,,,,,,,,1948-5506,1948-5514,,,,MAY,2018,9,4,,,,,461,469,,10.1177/1948550617707020,http://dx.doi.org/10.1177/1948550617707020,,,,,,,,33163145,,,,,WOS:000439615800010,View Full Record in Web of Science
J,"James, D; Bonam, CM",,,,"James, Drexler; Bonam, Courtney M.",,,Biogeographic ancestry information facilitates genetic racial essentialism: Consequences for race-based judgments,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,,,,,,,,,,,,"Direct-to-consumer genetic ancestry tests measure biogeographic ancestry (BGA), which refers to an individual's ancestral origin in relation to major population groups. There is growing concern that biogeographic information exaggerates both false beliefs about racial genetic differences and, ultimately, racial bias. Across three studies (N = 1317), we find that biogeographic information impacts racial categorization and beliefs about both genetic racial essentialism (i.e., the extent to which people believe that race is genetically derived) and biological race differences. Specifically, we find people are more likely to categorize Black/White biracial targets as Black and believe that a target is more biologically different from White people (e.g., has thicker skin) as the target's percent sub-Saharan African biogeographic ancestry (ABGA) increases (Studies 1 and 2). We also find that people misrepresent BGA as race genes, such that they perceive Black/White biracial targets with more ABGA as sharing more genes with Black people, which then predicts greater Black racial categorization of the target and increased beliefs that the target is susceptible to certain physical and mental illnesses (Study 2). Notably, BGA remains a predictor of these outcomes even when people know the target's specific racial ancestry, that is, their exact number of Black grandparents (Study 2). Finally, we find that exposing people to the idea that race is genetically derived, compared to biologically derived, exaggerates beliefs that genes determine both human life (genetic essentialism) and racial categories (genetic racial essentialism; Study 3). We discuss implications for studying psychological essentialism, racial bias, and racial health disparities.",,,,,,,,,,,,,,,,,,,0021-9029,1559-1816,,,,,,,,,,,,,,,10.1111/jasp.12932,http://dx.doi.org/10.1111/jasp.12932,,OCT 2022,,,,,,,,,,,WOS:000866440600001,View Full Record in Web of Science
J,"Small, PA; Major, B",,,,"Small, Payton A.; Major, Brenda",,,Crossing the racial line: The fluidity vs. fixedness of racial identity,SELF AND IDENTITY,,,,,,,,,,,,"Five studies investigated perceptions of individuals whose identity claims violate societal ascriptions of group membership. Studies 1-3 showed that perceivers dislike targets whose claimed race/ethnicity does not match either of their parent's racial/ethnic ancestry, delegitimize their identity claims, and deny their claimed identity relative to targets whose claimed race/ethnicity matches at least one of their parents' racie/ethnicity backgrounds. Study 4 showed that mismatched religious identities are not similarly devalued, suggesting that perceived misrepresentation of racial/ethnic identity holds special significance as a violation of social norms. Study 5 found that racial essentialism was associated with increased disparagement of targets with two White parents who claim a Black identity, but not of targets with two Black parents who claim a White identity.",,,,,"Small, Payton/ABG-2566-2020","Small, Payton/0000-0001-7434-2140",,,,,,,,,,,,,1529-8868,1529-8876,,,,JUL 4,2021,20,5,,,SI,,620,645,,10.1080/15298868.2019.1662839,http://dx.doi.org/10.1080/15298868.2019.1662839,,SEP 2019,,,,,,,,,,,WOS:000484973800001,View Full Record in Web of Science
J,"Schudson, ZC; Gelman, SA",,,,"Schudson, Zach C.; Gelman, Susan A.",,,Social constructionist and essentialist beliefs about gender and race,GROUP PROCESSES & INTERGROUP RELATIONS,,,,,,,,,,,,"Social constructionist beliefs posit that sociocultural forces shape power-stratified social categories, whereas essentialist beliefs posit that social categories are defined by an immutable, natural essence shared by category members. Across three studies, we developed and validated the Social Constructionist and Essentialist Beliefs Scale (SCEBS) to assess the latent structure of ontological beliefs about two social categories: gender and race. In Study 1 (N = 598), we found a three-factor structure for SCEBS-Gender and SCEBS-Race, consisting of Social Constructionism, Essentialism, and Realism. In Study 2a (N = 300), we examined factor structure stability and criterion-related validity. We found incremental validity of SCEBS, and social constructionist beliefs particularly, for predicting modern sexism and symbolic racism beyond extant, essentialism-focused measures. In Study 2b (N = 218), we established 4-week test-retest reliability of SCEBS. Our research demonstrates the value of assessing both social constructionist and essentialist beliefs in the study of prejudice.",,,,,,,,,,,,,,,,,,,1368-4302,1461-7188,,,,,,,,,,,,,,1.36843E+16,10.1177/13684302211070792,http://dx.doi.org/10.1177/13684302211070792,,MAR 2022,,,,,,,,,,,WOS:000763838300001,View Full Record in Web of Science
J,"Levy, A; Nguyen, C; Slepian, ML; Gaither, S; Pauker, K; Dovidio, JF",,,,"Levy, Aharon; Nguyen, Christine; Slepian, Michael L.; Gaither, Sarah; Pauker, Kristin; Dovidio, John F.",,,Categorizing a Face and Facing a Category: The Constructive Impacts of Ambiguity and Uncertainty in Racial Categorization,PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,,,,,,,,,,,,"The past generation has seen a dramatic rise in multiracial populations and a consequent increase in exposure to individuals who challenge monolithic racial categories. We examine and compare two potential outcomes of the multiracial population growth that may impact people's racial categorization experience: (a) exposure to racially ambiguous faces that visually challenge the existing categories, and (b) a category that conceptually challenges existing categories (including biracial as an option in addition to the monolithic Black and White categories). Across four studies (N = 1,810), we found that multiple exposures to faces that are racially ambiguous directly lower essentialist views of race. Moreover, we found that when people consider a category that blurs the line between racial categories (i.e., biracial), they become less certain in their racial categorization, which is associated with less race essentialism, as well. Importantly, we found that these two effects happen independently from one another and represent two distinct cognitive processes.",,,,,"Pauker, Kristin/C-2453-2009","Pauker, Kristin/0000-0002-0848-5159; Dovidio, John/0000-0002-6110-8344",,,,,,,,,,,,,0146-1672,1552-7433,,,,,,,,,,,,,,1.46167E+15,10.1177/01461672221084537,http://dx.doi.org/10.1177/01461672221084537,,APR 2022,,,,,,35383507,,,,,WOS:000780213400001,View Full Record in Web of Science
J,"Yao, DJ; Chao, MM; Leung, AKY",,,,"Yao, Donna J.; Chao, Melody M.; Leung, Angela K-Y.",,,When Essentialism Facilitates Intergroup Conflict Resolution: The Positive Role of Perspective-Taking,JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,,,,,,,,,,,,"Essentialism, a fundamental belief of the fixedness of social group essences, is often associated with negative intergroup outcomes. However, research is yet to explore the role of essentialism in intergroup conflicts, despite their prevalence. To address this gap, we conducted the first direct examination on how essentialism influences conflict management toward out-group members. Moreover, we examined perspective-taking as a positive factor in improving conflict management among essentialist individuals relative to their non-essentialist counterparts in intergroup contexts. Results across three experiments provided little support to the negative effect of essentialism on intergroup (vs. intragroup) conflict management. Yet, we found that perspective-taking promoted the use of problem solving and improved one's own gain and the dyad's joint gain among essentialist individuals, but not non-essentialist individuals, in intergroup (vs. intragroup) conflict situations. This research suggests that when coupled with perspective-taking, essentialism can promote constructive conflict resolution in intergroup contexts.",,,,,,"Yao, Jingdan/0000-0003-3074-9533",,,,,,,,,,,,,0022-0221,1552-5422,,,,MAY,2019,50,4,,,,,483,507,,10.1177/0022022119835058,http://dx.doi.org/10.1177/0022022119835058,,,,,,,,,,,,,WOS:000463918700001,View Full Record in Web of Science
S,"Pauker, K; Tai, C; Ansari, S",,"Rhodes, M",,"Pauker, Kristin; Tai, Christine; Ansari, Shahana",,,Contextualizing the development of social essentialism,DEVELOPMENT OF SOCIAL ESSENTIALISM,Advances in Child Development and Behavior,,,,,,,,,,,"Given the critical role that psychological essentialism is theorized to play in the development of stereotyping and prejudice, researchers have increasingly examined the extent to which and when children essentialize different social categories. We review and integrate the types of contextual and cultural variation that have emerged in the literature on social essentialism. We review variability in the development of social essentialism depending on experimental tasks, participant social group membership, language use, psychological salience of category kinds, exposure to diversity, and cultural norms. We also discuss future directions for research that would help to identify the contexts in which social essentialism is less likely to develop in order to inform interventions that could reduce social essentialism and possible negative consequences for intergroup relations.",,,,,"Pauker, Kristin/C-2453-2009","Pauker, Kristin/0000-0002-0848-5159; Tai, Christine/0000-0002-5366-5423",,,,,,,,,,,,,0065-2407,,978-0-12-820086-5,,,,2020,59,,,,,,65,94,,10.1016/bs.acdb.2020.05.003,http://dx.doi.org/10.1016/bs.acdb.2020.05.003,,,,,,,,32564796,,,,,WOS:000609245800004,View Full Record in Web of Science
